value,Koppen_Class,Category
AL_Autauga,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AL_Baldwin,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AL_Barbour,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AL_Blount,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Bullock,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AL_Chilton,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AL_Coffee,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Covington,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AL_Cullman,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AL_Dale,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Dallas,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_De Kalb,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AL_Etowah,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Geneva,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AL_Henry,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Houston,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AL_Jackson,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Macon,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AL_Mobile,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AL_Pike,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AL_Saint Clair,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AZ_Apache,"BSk  Arid, steppe, cold",Non Speciality Crop
AZ_Cochise,"BSk  Arid, steppe, cold",Speciality Crop
AZ_Graham,"BWh  Arid, desert, hot",Speciality Crop
AZ_Maricopa,"BWh  Arid, desert, hot",Speciality Crop
AZ_Navajo,"BWk  Arid, desert, cold",Non Speciality Crop
AZ_Pinal,"BWh  Arid, desert, hot",Speciality Crop
AZ_Yuma,"BWh  Arid, desert, hot",Speciality Crop
AR_Ashley,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Benton,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Bradley,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AR_Chicot,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AR_Clay,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Conway,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AR_Craighead,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Cross,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AR_Franklin,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Hempstead,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Jefferson,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AR_Lee,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Little River,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AR_Lonoke,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AR_Miller,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AR_Mississippi,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Phillips,"Cfa  Temperate, no dry season, hot summer",Speciality Crop
AR_Pulaski,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_Scott,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
AR_White,"Cfa  Temperate, no dry season, hot summer",Non Speciality Crop
CA_Alameda,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Amador,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Butte,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Calaveras,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Colusa,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Contra Costa,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_El Dorado,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Fresno,"Csb  Temperate, dry summer, warm summer",Speciality Crop
CA_Glenn,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Humboldt,"Csb  Temperate, dry summer, warm summer",Non Speciality Crop
CA_Imperial,"BWh  Arid, desert, hot",Speciality Crop
CA_Kern,"BSh  Arid, steppe, hot",Speciality Crop
CA_Kings,"BSk  Arid, steppe, cold",Speciality Crop
CA_Los Angeles,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Madera,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Marin,"Csb  Temperate, dry summer, warm summer",Speciality Crop
CA_Mendocino,"Csb  Temperate, dry summer, warm summer",Speciality Crop
CA_Merced,"BSk  Arid, steppe, cold",Speciality Crop
CA_Modoc,"BSk  Arid, steppe, cold",Speciality Crop
CA_Monterey,"Csb  Temperate, dry summer, warm summer",Speciality Crop
CA_Napa,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Nevada,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Orange,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Placer,"Dsb  Cold, dry summer, warm summer",Speciality Crop
CA_Riverside,"BWh  Arid, desert, hot",Speciality Crop
CA_Sacramento,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_San Benito,"Csb  Temperate, dry summer, warm summer",Speciality Crop
CA_San Bernardino,"BWh  Arid, desert, hot",Speciality Crop
CA_San Diego,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_San Joaquin,"BSk  Arid, steppe, cold",Speciality Crop
CA_San Luis Obispo,"Csb  Temperate, dry summer, warm summer",Speciality Crop
CA_San Mateo,"Csb  Temperate, dry summer, warm summer",Speciality Crop
CA_Santa Barbara,"Csb  Temperate, dry summer, warm summer",Speciality Crop
CA_Santa Clara,"Csb  Temperate, dry summer, warm summer",Speciality Crop
CA_Santa Cruz,"Csb  Temperate, dry summer, warm summer",Speciality Crop
CA_Shasta,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Siskiyou,"Dsb  Cold, dry summer, warm summer",Speciality Crop
CA_Solano,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Sonoma,"Csb  Temperate, dry summer, warm summer",Speciality Crop
CA_Stanislaus,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Sutter,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Tehama,"Csa  Temperate, dry summer, hot summer",Speciality Crop
CA_Tulare,"Csa  Temperate, dry summer, hot summer",Speciality Crop
