Target,Analog,Frequency,Set
AL_Autauga,TX_Milam,6,Derived Variables
AL_Autauga,TX_Caldwell,6,Derived Variables
AL_Autauga,TX_Travis,5,Derived Variables
AL_Autauga,TX_Bastrop,5,Derived Variables
AL_Autauga,TX_Madison,5,Derived Variables
AL_Barbour,TX_Uvalde,7,Derived Variables
AL_Barbour,TX_Washington,5,Derived Variables
AL_Bullock,TX_Bastrop,5,Derived Variables
AL_Bullock,TX_Washington,5,Derived Variables
AL_Chilton,TX_Milam,7,Derived Variables
AL_Chilton,TX_Travis,7,Derived Variables
AL_Covington,TX_Washington,7,Derived Variables
AL_Covington,TX_Frio,6,Derived Variables
AL_Covington,TX_Gonzales,6,Derived Variables
AL_Covington,TX_Uvalde,5,Derived Variables
AL_Covington,TX_Atascosa,5,Derived Variables
AL_Covington,TX_Wilson,5,Derived Variables
AL_Covington,TX_Colorado,5,Derived Variables
AL_Covington,TX_Fayette,5,Derived Variables
AL_Cullman,TX_Ellis,6,Derived Variables
AL_Geneva,TX_Frio,6,Derived Variables
AL_Geneva,TX_Zavala,6,Derived Variables
AL_Geneva,TX_Maverick,6,Derived Variables
AL_Geneva,TX_Wilson,6,Derived Variables
AL_Geneva,TX_Atascosa,5,Derived Variables
AL_Houston,TX_Frio,9,Derived Variables
AL_Houston,TX_Zavala,7,Derived Variables
AL_Houston,TX_Maverick,7,Derived Variables
AL_Houston,TX_Atascosa,7,Derived Variables
AL_Mobile,TX_Zavala,8,Derived Variables
AL_Mobile,TX_Atascosa,8,Derived Variables
AL_Mobile,TX_Frio,7,Derived Variables
AL_Mobile,TX_Maverick,7,Derived Variables
AL_Pike,TX_Uvalde,6,Derived Variables
AL_Pike,TX_Bexar,5,Derived Variables
AR_Bradley,TX_Bastrop,7,Derived Variables
AR_Bradley,TX_Milam,7,Derived Variables
AR_Bradley,TX_Travis,5,Derived Variables
AR_Bradley,TX_Bell,5,Derived Variables
AR_Chicot,TX_Travis,6,Derived Variables
AR_Chicot,TX_Frio,6,Derived Variables
AR_Chicot,TX_Bexar,5,Derived Variables
AR_Chicot,TX_Bastrop,5,Derived Variables
AR_Conway,TX_Ellis,7,Derived Variables
AR_Cross,TX_Ellis,8,Derived Variables
AR_Cross,TX_Bell,5,Derived Variables
AR_Jefferson,TX_Travis,8,Derived Variables
AR_Jefferson,TX_Milam,7,Derived Variables
AR_Jefferson,TX_Bastrop,6,Derived Variables
AR_Jefferson,AZ_Pinal,5,Derived Variables
AR_Jefferson,TX_Williamson,5,Derived Variables
AR_Little River,TX_Bastrop,6,Derived Variables
AR_Little River,TX_Milam,6,Derived Variables
AR_Little River,TX_Washington,5,Derived Variables
AR_Lonoke,TX_Travis,7,Derived Variables
AR_Lonoke,TX_Williamson,7,Derived Variables
AR_Lonoke,TX_Milam,7,Derived Variables
AR_Lonoke,TX_Bell,5,Derived Variables
AR_Lonoke,TX_Bastrop,5,Derived Variables
AR_Miller,TX_Frio,6,Derived Variables
AR_Miller,TX_Milam,5,Derived Variables
AR_Miller,TX_Wilson,5,Derived Variables
AR_Miller,TX_Bastrop,5,Derived Variables
AR_Phillips,TX_Williamson,9,Derived Variables
AR_Phillips,TX_Travis,8,Derived Variables
AR_Phillips,TX_Milam,7,Derived Variables
AR_Phillips,TX_Bell,7,Derived Variables
AZ_Cochise,TX_Uvalde,8,Derived Variables
AZ_Graham,TX_Midland,7,Derived Variables
AZ_Pinal,AZ_Yuma,17,Derived Variables
CA_Alameda,CA_San Diego,16,Derived Variables
CA_Alameda,CA_Ventura,15,Derived Variables
CA_Alameda,CA_Contra Costa,13,Derived Variables
CA_Alameda,CA_Los Angeles,11,Derived Variables
CA_Alameda,CA_Solano,9,Derived Variables
CA_Amador,CA_Kern,17,Derived Variables
CA_Amador,CA_Riverside,15,Derived Variables
CA_Amador,CA_Kings,14,Derived Variables
CA_Amador,CA_Tulare,11,Derived Variables
CA_Amador,CA_San Bernardino,9,Derived Variables
CA_Amador,CA_Fresno,8,Derived Variables
CA_Butte,CA_Kern,17,Derived Variables
CA_Butte,CA_Riverside,15,Derived Variables
CA_Butte,CA_Kings,14,Derived Variables
CA_Butte,CA_San Bernardino,13,Derived Variables
CA_Butte,CA_Tulare,8,Derived Variables
CA_Calaveras,CA_Kern,16,Derived Variables
CA_Calaveras,CA_Kings,16,Derived Variables
CA_Calaveras,CA_Riverside,14,Derived Variables
CA_Calaveras,CA_Tulare,13,Derived Variables
CA_Calaveras,CA_San Bernardino,9,Derived Variables
