Target,Analog,Frequency,Set
AL_Autauga,FL_Gilchrist,6,Temperature
AL_Autauga,FL_Lafayette,6,Temperature
AL_Autauga,FL_Hamilton,5,Temperature
AL_Autauga,FL_Alachua,5,Temperature
AL_Autauga,FL_Suwannee,5,Temperature
AL_Baldwin,FL_Orange,8,Temperature
AL_Baldwin,FL_Osceola,7,Temperature
AL_Baldwin,FL_Lake,6,Temperature
AL_Baldwin,FL_Indian River,6,Temperature
AL_Barbour,FL_Gilchrist,10,Temperature
AL_Barbour,FL_Alachua,6,Temperature
AL_Barbour,TX_Frio,6,Temperature
AL_Barbour,FL_Levy,5,Temperature
AL_Bullock,FL_Gilchrist,8,Temperature
AL_Bullock,FL_Lafayette,7,Temperature
AL_Bullock,FL_Alachua,7,Temperature
AL_Bullock,FL_Suwannee,5,Temperature
AL_Chilton,FL_Suwannee,5,Temperature
AL_Covington,FL_Gilchrist,9,Temperature
AL_Covington,TX_Frio,7,Temperature
AL_Covington,TX_Maverick,7,Temperature
AL_Covington,FL_Alachua,6,Temperature
AL_Covington,FL_Lafayette,5,Temperature
AL_Covington,FL_Suwannee,5,Temperature
AL_Covington,TX_Zavala,5,Temperature
AL_Geneva,TX_Maverick,8,Temperature
AL_Geneva,TX_Frio,7,Temperature
AL_Geneva,TX_Zavala,6,Temperature
AL_Geneva,FL_Alachua,5,Temperature
AL_Geneva,FL_Suwannee,5,Temperature
AL_Houston,FL_Levy,6,Temperature
AL_Houston,FL_Alachua,6,Temperature
AL_Houston,TX_Frio,6,Temperature
AL_Houston,TX_Maverick,5,Temperature
AL_Houston,TX_Zavala,5,Temperature
AL_Houston,TX_Atascosa,5,Temperature
AL_Mobile,FL_Hernando,6,Temperature
AL_Mobile,TX_Atascosa,5,Temperature
AL_Mobile,FL_Pasco,5,Temperature
AL_Pike,FL_Alachua,6,Temperature
AL_Pike,TX_Frio,6,Temperature
AL_Pike,FL_Levy,6,Temperature
AL_Pike,FL_Gilchrist,5,Temperature
AL_Pike,TX_Zavala,5,Temperature
AR_Bradley,FL_Gilchrist,8,Temperature
AR_Bradley,FL_Lafayette,8,Temperature
AR_Bradley,FL_Alachua,7,Temperature
AR_Bradley,FL_Suwannee,6,Temperature
AR_Chicot,FL_Levy,7,Temperature
AR_Chicot,FL_Alachua,6,Temperature
AR_Chicot,TX_Uvalde,6,Temperature
AR_Chicot,TX_Frio,5,Temperature
AR_Conway,GA_Clinch,6,Temperature
AR_Conway,GA_Lowndes,6,Temperature
AR_Conway,GA_Echols,5,Temperature
AR_Little River,FL_Gilchrist,9,Temperature
AR_Little River,FL_Alachua,7,Temperature
AR_Little River,FL_Suwannee,7,Temperature
AR_Little River,FL_Lafayette,7,Temperature
AR_Miller,FL_Levy,6,Temperature
AZ_Cochise,AZ_Pinal,9,Temperature
AZ_Graham,TX_Midland,9,Temperature
AZ_Graham,TX_El Paso,5,Temperature
AZ_Maricopa,AZ_Yuma,17,Temperature
AZ_Maricopa,CA_Imperial,17,Temperature
AZ_Maricopa,AZ_Maricopa,17,Temperature
AZ_Maricopa,AZ_Pinal,14,Temperature
AZ_Pinal,AZ_Yuma,17,Temperature
AZ_Pinal,AZ_Maricopa,17,Temperature
AZ_Pinal,CA_Imperial,17,Temperature
AZ_Pinal,AZ_Pinal,17,Temperature
AZ_Yuma,AZ_Yuma,17,Temperature
AZ_Yuma,CA_Imperial,17,Temperature
AZ_Yuma,AZ_Maricopa,16,Temperature
AZ_Yuma,AZ_Pinal,10,Temperature
CA_Butte,MS_Greene,7,Temperature
CA_Imperial,CA_Imperial,17,Temperature
CA_Imperial,AZ_Yuma,17,Temperature
CA_Imperial,AZ_Maricopa,7,Temperature
CA_Marin,AR_Phillips,8,Temperature
CA_Marin,AR_Jefferson,5,Temperature
CA_Orange,AL_Baldwin,11,Temperature
CA_Orange,SC_Beaufort,5,Temperature
CA_Riverside,AZ_Maricopa,15,Temperature
CA_Riverside,AZ_Pinal,13,Temperature
CA_Riverside,AZ_Yuma,8,Temperature
CA_Riverside,CA_Imperial,8,Temperature
CA_San Bernardino,CA_Imperial,9,Temperature
CA_San Bernardino,AZ_Yuma,9,Temperature
CA_San Bernardino,AZ_Maricopa,9,Temperature
CA_San Joaquin,AL_Covington,6,Temperature
CA_San Luis Obispo,TX_El Paso,7,Temperature
CA_San Luis Obispo,TX_Gaines,6,Temperature
CA_San Mateo,VA_Accomack,15,Temperature
CO_Costilla,CO_Weld,5,Temperature
CO_Otero,NM_Luna,13,Temperature
CO_Otero,NM_Otero,9,Temperature
CO_Otero,NM_Chaves,6,Temperature
CO_Pueblo,NM_Roosevelt,6,Temperature
CT_New Haven,DE_Kent,6,Temperature
CT_New Haven,NJ_Salem,5,Temperature
DE_Kent,NC_Pasquotank,6,Temperature
DE_Sussex,NC_Pasquotank,6,Temperature
DE_Sussex,NC_Perquimans,5,Temperature
FL_Brevard,TX_Cameron,16,Temperature
FL_Brevard,FL_Lee,16,Temperature
FL_Brevard,TX_Willacy,16,Temperature
FL_Brevard,TX_Hidalgo,12,Temperature
FL_Brevard,FL_Martin,6,Temperature
FL_Charlotte,TX_Hidalgo,15,Temperature
FL_Charlotte,FL_Collier,5,Temperature
FL_Collier,TX_Hidalgo,15,Temperature
FL_Columbia,TX_Maverick,7,Temperature
FL_Escambia,TX_Maverick,8,Temperature
FL_Escambia,TX_Frio,7,Temperature
FL_Escambia,TX_Zavala,6,Temperature
FL_Escambia,TX_Atascosa,6,Temperature
FL_Escambia,FL_Alachua,5,Temperature
FL_Gadsden,TX_Maverick,9,Temperature
FL_Gadsden,TX_Zavala,6,Temperature
FL_Gadsden,TX_Frio,5,Temperature
FL_Hamilton,TX_Maverick,7,Temperature
FL_Hamilton,TX_Frio,7,Temperature
FL_Hamilton,TX_Zavala,5,Temperature
FL_Hardee,TX_Hidalgo,14,Temperature
FL_Hardee,FL_Collier,14,Temperature
FL_Hendry,TX_Hidalgo,15,Temperature
FL_Hernando,FL_Collier,16,Temperature
FL_Hernando,TX_Hidalgo,12,Temperature
FL_Highlands,TX_Hidalgo,15,Temperature
FL_Highlands,FL_Collier,8,Temperature
FL_Hillsborough,TX_Hidalgo,16,Temperature
FL_Hillsborough,FL_Collier,8,Temperature
FL_Indian River,TX_Hidalgo,16,Temperature
FL_Indian River,TX_Cameron,5,Temperature
FL_Jackson,TX_Maverick,10,Temperature
FL_Jackson,TX_Zavala,6,Temperature
FL_Jackson,TX_Frio,5,Temperature
FL_Jackson,TX_Atascosa,5,Temperature
FL_Jefferson,TX_Zavala,7,Temperature
FL_Jefferson,TX_Frio,7,Temperature
FL_Jefferson,TX_Maverick,6,Temperature
FL_Jefferson,TX_Atascosa,6,Temperature
FL_Lafayette,TX_Maverick,7,Temperature
FL_Lake,TX_Hidalgo,15,Temperature
FL_Lake,FL_Collier,9,Temperature
FL_Lee,TX_Hidalgo,15,Temperature
FL_Lee,TX_Cameron,15,Temperature
FL_Lee,FL_Lee,13,Temperature
FL_Lee,TX_Willacy,11,Temperature
FL_Manatee,TX_Hidalgo,15,Temperature
FL_Manatee,FL_Collier,7,Temperature
FL_Marion,FL_Collier,8,Temperature
FL_Marion,FL_Hendry,6,Temperature
FL_Marion,TX_Hidalgo,6,Temperature
FL_Martin,TX_Hidalgo,15,Temperature
FL_Martin,TX_Cameron,15,Temperature
FL_Martin,FL_Lee,12,Temperature
FL_Martin,TX_Willacy,9,Temperature
FL_Okeechobee,TX_Hidalgo,15,Temperature
FL_Okeechobee,TX_Cameron,8,Temperature
FL_Orange,TX_Hidalgo,15,Temperature
FL_Orange,TX_Cameron,9,Temperature
FL_Orange,FL_Lee,8,Temperature
FL_Orange,TX_Willacy,7,Temperature
FL_Osceola,TX_Hidalgo,16,Temperature
FL_Osceola,FL_Collier,7,Temperature
FL_Palm Beach,TX_Hidalgo,15,Temperature
FL_Palm Beach,TX_Cameron,15,Temperature
FL_Palm Beach,FL_Lee,7,Temperature
FL_Pasco,TX_Hidalgo,15,Temperature
FL_Pasco,FL_Collier,14,Temperature
FL_Polk,TX_Hidalgo,16,Temperature
FL_Putnam,FL_Hendry,5,Temperature
FL_Putnam,FL_Collier,5,Temperature
FL_Sarasota,TX_Hidalgo,15,Temperature
FL_Sarasota,FL_Collier,9,Temperature
FL_Seminole,FL_Lee,12,Temperature
FL_Seminole,TX_Hidalgo,10,Temperature
FL_Seminole,TX_Willacy,10,Temperature
FL_Seminole,TX_Cameron,10,Temperature
FL_Seminole,FL_Palm Beach,6,Temperature
FL_Suwannee,TX_Maverick,6,Temperature
FL_Volusia,FL_Lee,13,Temperature
FL_Volusia,TX_Willacy,13,Temperature
FL_Volusia,TX_Cameron,11,Temperature
FL_Volusia,FL_Palm Beach,8,Temperature
