State_County,location
WA_Whatcom,48.96875_-122.53125
WA_Whatcom,48.96875_-122.46875
WA_Whatcom,48.96875_-122.40625
WA_Whatcom,48.90625_-122.59375
WA_Whatcom,48.90625_-122.46875
WA_Whatcom,48.96875_-122.28125
WA_Whatcom,48.96875_-122.21875
WA_Whatcom,48.96875_-122.15625
WA_Whatcom,48.90625_-122.40625
WA_Whatcom,48.90625_-122.34375
WA_Whatcom,48.84375_-122.40625
WA_Whatcom,48.84375_-122.34375
WA_Whatcom,48.90625_-120.84375
WA_Clallam,48.21875_-124.15625
WA_Skagit,48.59375_-122.40625
WA_Skagit,48.53125_-122.40625
WA_Skagit,48.53125_-122.34375
WA_Skagit,48.53125_-122.28125
WA_Whatcom,48.84375_-120.78125
WA_Okanogan,48.90625_-120.71875
WA_Clallam,48.03125_-124.53125
WA_Skagit,48.46875_-122.34375
WA_Okanogan,48.96875_-119.59375
WA_Skagit,48.40625_-122.40625
WA_Skagit,48.46875_-122.21875
WA_Skagit,48.53125_-121.96875
WA_Skagit,48.40625_-122.34375
WA_Skagit,48.40625_-122.21875
WA_Skagit,48.53125_-121.65625
WA_Okanogan,48.96875_-119.28125
WA_Okanogan,48.96875_-119.15625
WA_Skagit,48.59375_-121.09375
WA_Okanogan,48.90625_-119.46875
WA_Okanogan,48.96875_-119.03125
WA_Okanogan,48.28125_-122.53125
WA_Okanogan,48.71875_-120.21875
WA_Okanogan,48.78125_-120.21875
WA_Skagit,48.34375_-122.34375
WA_Skagit,48.34375_-122.28125
WA_Okanogan,48.90625_-119.21875
WA_Clallam,48.09375_-123.21875
WA_Okanogan,48.78125_-119.40625
WA_Clallam,47.96875_-123.53125
WA_Snohomish,48.21875_-122.34375
WA_Skagit,48.53125_-120.71875
WA_Okanogan,48.71875_-119.65625
WA_Okanogan,48.71875_-119.53125
WA_Okanogan,48.78125_-119.34375
WA_Jefferson,47.78125_-124.40625
WA_Snohomish,48.21875_-122.21875
WA_Snohomish,48.21875_-122.15625
WA_Okanogan,48.71875_-119.46875
WA_Okanogan,48.65625_-119.46875
WA_Snohomish,48.21875_-121.84375
WA_Okanogan,48.59375_-119.65625
WA_Okanogan,48.59375_-119.59375
WA_Okanogan,48.65625_-119.59375
WA_Okanogan,48.59375_-119.40625
WA_Okanogan,48.65625_-119.40625
WA_Okanogan,48.65625_-119.28125
WA_Stevens,48.84375_-118.09375
WA_Jefferson,47.71875_-124.15625
WA_Stevens,48.84375_-117.90625
WA_Stevens,48.84375_-117.84375
WA_Ferry,48.71875_-118.40625
WA_Ferry,48.78125_-118.40625
WA_Ferry,48.84375_-118.40625
WA_Ferry,48.84375_-118.34375
WA_Ferry,48.90625_-118.34375
WA_Okanogan,48.53125_-119.65625
WA_Jefferson,47.90625_-122.84375
WA_Okanogan,48.40625_-120.21875
WA_Okanogan,48.53125_-119.34375
WA_Okanogan,48.53125_-119.28125
WA_Okanogan,48.40625_-119.59375
WA_Okanogan,48.46875_-119.59375
WA_Okanogan,48.46875_-119.46875
ID_Boundary,48.96875_-116.46875
ID_Boundary,48.96875_-116.40625
WA_Chelan,48.21875_-120.71875
WA_Okanogan,48.46875_-119.40625
WA_Stevens,48.65625_-118.09375
ID_Boundary,48.90625_-116.46875
WA_Okanogan,48.40625_-119.53125
WA_Okanogan,48.40625_-119.46875
WA_Snohomish,47.90625_-122.09375
ID_Boundary,48.84375_-116.40625
WA_Chelan,48.15625_-120.40625
WA_Okanogan,48.34375_-119.46875
WA_Okanogan,48.34375_-119.40625
WA_Okanogan,48.34375_-119.34375
WA_Pend Oreille,48.71875_-117.15625
ID_Boundary,48.78125_-116.59375
ID_Boundary,48.84375_-116.34375
WA_Chelan,48.03125_-121.03125
WA_Chelan,48.09375_-120.59375
WA_Okanogan,48.28125_-119.46875
ID_Boundary,48.78125_-116.34375
WA_Okanogan,48.21875_-119.59375
