"State","Score","num","denom"
"WV_Berkeley",0,0,1
"WI_Wood",0,0,3
"WI_Waushara",0,0,3
"WI_Waupaca",0,0,4
"WI_Washington",0,0,7
"WI_Walworth",0,0,1
"WI_Sheboygan",0,0,9
"WI_Racine",0,0,1
"WI_Portage",0,0,7
"WI_Polk",0,0,1
"WI_Outagamie",0,0,5
"WI_Oconto",0,0,7
"WI_Monroe",0,0,1
"WI_Marquette",0,0,1
"WI_Marinette",0,0,4
"WI_Manitowoc",0,0,7
"WI_Kewaunee",0,0,5
"WI_Kenosha",0,0,3
"WI_Jackson",0,0,1
"WI_Green Lake",0,0,2
"WI_Dunn",0,0,1
"WI_Door",0,0,7
"WI_Dodge",0,0,1
"WI_Columbia",0,0,1
"WI_Calumet",0,0,5
"WI_Adams",0,0,1
"WA_Yakima",0,0,4
"WA_Whatcom",0,0,6
"WA_Walla Walla",0,0,5
"WA_Spokane",0,0,1
"WA_Snohomish",0,0,3
"WA_Skagit",0,0,5
"WA_Pierce",0,0,11
"WA_Okanogan",0,0,7
"WA_Lincoln",0,0,5
"WA_Lewis",0,0,13
"WA_Kittitas",0,0,6
"WA_King",0,0,10
"WA_Grant",0,0,4
"WA_Franklin",0,0,4
"WA_Clark",0,0,15
"WA_Chelan",0,0,5
"WA_Benton",0,0,2
"WA_Adams",0,0,3
"VT_Addison",0,0,2
"VA_Westmoreland",0,0,4
"VA_Hanover",0,0,3
"UT_Weber",0,0,5
"UT_Utah",0,0,2
"UT_Davis",0,0,4
"UT_Box Elder",0,0,4
"TX_Zavala",0,0,4
"TX_Wilson",0,0,4
"TX_Williamson",0,0,4
"TX_Wharton",0,0,4
"TX_Waller",0,0,6
"TX_Uvalde",0,0,4
"TX_Travis",0,0,5
"TX_Terry",0,0,3
"TX_Robertson",0,0,4
"TX_Red River",0,0,9
"TX_Pecos",0,0,10
"TX_Montague",0,0,6
"TX_Milam",0,0,4
"TX_Medina",0,0,4
"TX_Maverick",0,0,4
"TX_Lubbock",0,0,3
"TX_Lavaca",0,0,5
"TX_Lamb",0,0,2
"TX_Lamar",0,0,4
"TX_Hunt",0,0,6
"TX_Hudspeth",0,0,2
"TX_Hartley",0,0,6
"TX_Hale",0,0,3
"TX_Guadalupe",0,0,4
"TX_Grayson",0,0,6
"TX_Gonzales",0,0,4
"TX_Glasscock",0,0,10
"TX_Gaines",0,0,5
"TX_Frio",0,0,4
"TX_Fort Bend",0,0,5
"TX_Fayette",0,0,5
"TX_Fannin",0,0,5
"TX_Cooke",0,0,4
"TX_Colorado",0,0,6
"TX_Collin",0,0,6
"TX_Clay",0,0,7
"TX_Caldwell",0,0,5
"TX_Burleson",0,0,5
"TX_Brazos",0,0,6
"TX_Bowie",0,0,4
"TX_Bexar",0,0,5
"TX_Bell",0,0,4
"TX_Bastrop",0,0,5
"TX_Atascosa",0,0,4
"SC_Williamsburg",0,0,9
"SC_Sumter",0,0,5
"SC_Saluda",0,0,1
"SC_Orangeburg",0,0,9
"SC_Lexington",0,0,6
"SC_Greenville",0,0,1
"SC_Clarendon",0,0,10
"SC_Beaufort",0,0,6
"SC_Barnwell",0,0,6
"SC_Aiken",0,0,6
"RI_Newport",0,0,3
"PA_York",0,0,3
"PA_Lancaster",0,0,4
"PA_Franklin",0,0,1
"PA_Erie",0,0,3
"PA_Dauphin",0,0,1
"PA_Cumberland",0,0,1
"PA_Chester",0,0,1
"PA_Bucks",0,0,1
"PA_Berks",0,0,1
"PA_Allegheny",0,0,1
"PA_Adams",0,0,1
"OR_Yamhill",0,0,12
"OR_Washington",0,0,13
"OR_Umatilla",0,0,5
"OR_Polk",0,0,10
"OR_Multnomah",0,0,10
"OR_Morrow",0,0,3
"OR_Marion",0,0,10
"OR_Malheur",0,0,3
"OR_Linn",0,0,11
"OR_Lane",0,0,12
"OR_Josephine",0,0,4
"OR_Hood River",0,0,3
"OR_Douglas",0,0,8
"OR_Curry",0,0,6
"OR_Coos",0,0,8
"OR_Clackamas",0,0,9
"OR_Benton",0,0,11
"OR_Baker",0,0,3
"OK_Tulsa",0,0,1
"OK_Stephens",0,0,5
"OK_Seminole",0,0,3
"OK_Rogers",0,0,1
"OK_Pottawatomie",0,0,3
"OK_Osage",0,0,1
"OK_Okmulgee",0,0,2
"OK_Marshall",0,0,6
"OK_Lincoln",0,0,1
